id,text_avis,note,label
112,expédié dans une jolie boite où il manque juste le logo de la pomme sinon on le croirait neuf ! Etat vraiment parfait,5,positif
113,"J’ai acheté un iPhone cadeaux pour ma mère , le téléphone tomber en panne après 3 semaine d’utilisation..",1,négatif
114,Parfait envoie rapide,5,positif
115,"ras, produit conforme à l'annonce, rapidité de l'envoie, je recommande !",5,positif
116,Le téléphone était endommagé à l’arrivée,3,neutre
117,Téléphone réagis moins que le 11 ne tiens pas la Charge toute la journée (peut être que je joue mais bon c’est pas une explication) Enfin bref déçu J’aime iPhone mais sincèrement déçu,5,positif
118,"Je déconseille à tous les clients qui souhaiteraient acheter chez ce magasin. Problèmes sur vos produits et vous continuez à vendre aux clients. La batterie tient que 2h. Beaucoup de problèmes sur le tel. J’ai remarqué en une journée d’utilisation. Merci de n’es pas commandé , dans ce magasin.",1,négatif
119,Produits arrivé sans soucis et dans les délais Dommage que le message d'écran non origine viennent gâcher le plaisir du reconditionné. Batterie état ok mais se décharge quand même très rapidement.,4,positif
120,Commande un téléphone même pas reconditionne correctement,5,positif
121,Bon rapport qualité prix Sérieux Expédition rapide,5,positif
122,Bon Téléphone qui reste encore dans le marché mais l autonomie de la batterie n est pas au Top !!,4,positif
123,"très bon rapport qualité prix ,le téléphone est nickel dommage que le chargeur ne soit pas fourni avec quand même.",5,positif
124,"Téléphone tombé 3 fois en panne en 5 mois, maintenant plus de solutions",1,négatif
125,Le telephone chauffe au dos au bout de 15 min d’utilisation,3,neutre
126,"Produit conforme à mes attentes. J'aime ses fonctionnalités, la qualité photo , la capacité de stockage, le visuel et la couleur",5,positif
127,Super contente de mon achat. C'etais la 1ere fois que je commandais sur Cdiscount et je renouvellerai mes achats sur ce site.,5,positif
128,"Comme d'habitude, je ne suis pas déçu de la qualité des produits reconditionnés",5,positif
129,Excellent produit reconditionné,5,positif
130,"écran pas oled déjà mais LCD, il s'est mis à clignoter donc renvoyé ; La batterie s'abîme vite. Bref nul",1,négatif
131,Très bon produit pour le prix je recommande fortement,5,positif
132,"Reçu dans le délai imparti, il est parfait on ne vois même pas que c'est un reconditionne. Batterie à 100% au top",5,positif
133,"Super téléphone, rien de plus à dire",5,positif
134,"rien à dire,il est incroyable !",5,positif
135,"Fonctionne pour le moment, pas de soucis pour l’instant",5,positif
136,"Décevant, pas comme j'aurais voulu.",1,négatif
137,"Tout est nickel, j'en suis ravie",5,positif
138,Téléphone qui ne marche plus au bout d'un mois vendeur pas sérieux dû tout !!!!!;;,1,négatif
139,Tactile beug et batterie tient pas,1,négatif
140,Niveau qualité prix rien a dire de même pour l' utilisation du téléphone je ne regrette pas mon achat,5,positif
141,"Livraison rapide, produit en super état extérieur, conforme à l’option. Par contre l’écran n’est pas d’origine, il n’est pas très réactif par rapport à l’écran des iPhone. La batterie ne tient vraiment pas longtemps, je doit le recharger régulièrement dans la journée. Le prix est imbattable mais déçue par ces disjonctions.",2,négatif
142,Mon iphone ma lâcher au bout de 2mois je ne recommande pas,1,négatif
143,De mauvaise qualité à fuirrr,1,négatif
144,"Le téléphone est arrivé sans aucun défaut, vraiment parfait. Après 2 semaines d’utilisation il a commencé avoir des disfonctionnements. Le wifi, le bluetooth et le airdrop sont inutilisables, les cellules sont grisées. Mais à part ça le téléphone est comme neuf",3,neutre
145,j'ai acheter mon Iphone mi juin et celui ci fonctionnait parfaitement jusqu'a ce que l'écran lâche du jour au lendemain au bout de trois mois. Renvoie du colis pris en charge par Cdiscount avec réponses a mes questions rapides. Remboursement effectué 10 jours après le renvoi du colis. J'espère juste ne pas avoir eu de chance et que ca ne se passera pas pareil avec le nouveau.,3,neutre
146,"J’ai pas eu problème, c’était comme neuf",5,positif
147,TIP TOP RIEN A DIRE JE RECOMMANDE,5,positif
148,les ecran c pas les ecran de base donc c pa compatible acheter surtout passsss,1,négatif
149,"je ne laisse jamais d’avis sur les sites, mais cette fois-ci je suis obligé. J’ai donc acheté un iPhone 12, j’étais très contente de le recevoir au vu du prix assez bas comparé aux autres sites, donc je l’ai reçu mais la qualité du microphone quand je fais des vocaux est horrible, même quand on m’appelle, on entend absolument rien et je vois que je ne suis pas la seule à avoir ce problème. J’ai notamment un message qui se s’enlève pas comme quoi « l’écran n’est pas reconnu « . Au niveau de la batterie comme on a pu voir dans de multiples commentaires la capacité de la batterie est arrivée à 88 % au bout de une semaine, elle était à 83 %. Donc je pense que ce n’est pas normal, car je partais le matin à 8h je revenais midi, il avait 60 % alors que j’avais été 30 minutes dessus. Enfin bref, tout ça pour vous dire que j’ai décidé de renvoyer le produit et que je ne vous conseille pas d’acheter chez ce vendeur.",1,négatif
150,Fonctionne parfaitement acheter pour ma niece,5,positif
151,Je suis très satisfait. Merci,5,positif
152,"j'ai acheté 2 téléphone sur leurs site en moins d'un an et sur les 2 téléphone j'ai eu des problème avec. Le 1er les boutons marchait plus et la reconnaissance faciale aussi au bout de 4 mois et le 2eme la batterie a tenu a peine 3 mois, il se déchargé en même pas 1h30 d'utilisation et quand je filmais avec le flash ma vidéo devenait tout floue.",1,négatif
153,Nul pas fonctionnel la batterie en deux heure vider,1,négatif
154,"Téléphone bien mais la batterie ne tient pas la journée, c dommage sinon bon téléphone",5,positif
155,"J’ai commandé le téléphone le 16/10 je l’ai reçu le 18/10 car j’ai pris la livraison accélérée. L’iPhone fonctionne parfaitement, il a une super qualité photo, la différence est flagrante passer d’android à iOS est très enrichissant. Le téléphone est accompagné d’un câble Usb-c sans prise ni écouteurs.",5,positif
156,"Très contente. Produit bien moins cher qu’ailleurs et en plus il y avait une coque et un verre trempé, donc pas de dépenses supplémentaires à prévoir",5,positif
157,Rapidité pour recevoir la commande. Il fonctionne parfaitement.,5,positif
158,Ma fille et satisfait bon rapport qualité prix le téléphone et comme neuf je recommande,5,positif
159,il est arrive avec paramétré pour les sourds on a eu un mal fou pour pouvoir se servir des applications et depuis il n'arrête as de beuguer je regrette cet achat,1,négatif
160,"Je viens d'acheter un Iphone 12 reconditionné mais le mal récurrent des Iphones est toujours présent la batterie se décharge trés vite en veille et en utilisation, c'est de la grande vitesse je vais devoir déjà contacter le SAV cet appareil s'est révélé un modèle du marché chinois cela aurait du être indiqué au catalogue en raison de protocole pouvant être différent de l'européen",2,négatif
161,Bon produit rien à dire Cool,5,positif
162,Alors pour un rapport qualité prix c'est parfait néanmoins la batterie ne tiens pas du tout sa fait trois jours que je l'es la batterie est déjà à 99% de capacité je comprend pas normalement sa ne devrait pas baisser au bout de trois jours donc je recommande pas trop,1,négatif
163,Au bout de 2 mois d'utilisation il s'est éteint et ne veux plus se rallumer quand je le mets à charger le logo Apple apparaît puis disparaît sans arrêt,2,négatif
164,"Probablement un écran non officiel, qui c'est brisé sans aucune pitié, impossible pour un original, et parlons carte mère qui au bout de trois semaines c'est tout simplement endormie, à jamais, résultats, écran noir, mise à jour impossible, argent volé. Merci vendeurs vous laissez une adolescente amer, ma fille.",1,négatif
165,Comme neuf et parfait fonctionnement,5,positif
166,Le téléphone est impeccable mais ne s’allume pas,5,positif
167,"Téléphone en très bon état, fonctionnel malgré un bug de microphone qui peut être régler facilement. Dans l’ensemble cet article vaut le coup !",4,positif
168,Pour mon premier achat d iPhone pas déçus du tout tel nickel reçus à la date indiquée et à ma grande surprise j avais un verre tremper et une coque,5,positif
169,Super comme neuf . Parfait . Tout est okay . Prévoir un chargeur,5,positif
170,Bon téléphone juste manque d'infos sur la compatibilité e-sim car le vendeur n'a pas précisée que ce dernier ne l'était pas car le téléphone viens des pays asiatiques qui le bloque.,4,positif
171,rien à dire ma fille est ravie,5,positif
172,Excellent état. Batterie neuve (100%). Emballage soigné. Je recommande.,5,positif
173,Produit acheté pour ma fille et elle est ravi. J'espère que sur le long terme ça va durer. La batterie ne tient pas beaucoup la charge mais comme un peu tout les iphones!!!,4,positif
174,Malgré un petit bug récupéré très facilement grâce à l’intervention d’un professionnel par téléphone excellent choix téléphone fonctionnel et très propre,5,positif
175,Démarrage rapide impossible pour transférer données d'un ancien iphone (qui fonctionne !) vers ce nouvel iphone.,1,négatif
176,"Franchement il est bien, état nickel, comme neuf tout est parfait",4,positif
177,Je suis moyennement satisfait de cet achat le téléphone fonctionne relativement bien mais je trouve qu'il ne tient pas bien la charge les mises à jour ne sont pas terrible et ne charge en rien son fonctionnement.,3,neutre
178,iPhone reçu en excellant état contente de mon achat au niveau rapport qualité prix . Après quelques jours d’utilisation je remarque juste que la batterie ne tiens pas une journée complète … a voir la qualité et la batterie dans le temps,5,positif
179,Parfait ! Rien à dire,5,positif
180,"Bonjour, ce modèle est OK. Mon expérience ? Mauvaise surprise : le vendeur n'inclut pas de chargeur. Ce qui oblige à en acheter un et augmente donc le prix.",3,neutre
181,"Pas de wifi ni Bluetooth, téléphone qui se redémarre tout seul toutes les 30 min environ et qui chauffe beaucoup.",1,négatif
182,le produit a un problème d’écran,1,négatif
183,Bonjour appareil conforme état neuf seul bémol pas de prise fourni avec le câble bien dommage pour cette marque soit disant au top . Pour ceux qui est des photo rien a dire excellent.a voir dans le temps si il tient plusieurs années,4,positif
184,"IPhone livré avec une vitre de protection (déjà collée lors du déballage), chargeur usb c inclus. Téléphone en très bon état, comme neuf comme cité dans l’annonce, état de la batterie à 100%, aucun défaut. Je recommande",5,positif
185,"Problème de batterie, chargeur hors service, écran non reconnu et qui se décolle, depuis le début.",2,négatif
186,"Comme neuf, aucune différence.",5,positif
187,"Comme neuf, aucune différence.",5,positif
188,Le produit es conforme à la description et reçu sans aucun soucis je recommande vivement,4,positif
189,"Produit d’occasion mais comme neuf,bon fonctionnement",5,positif
190,Produit déflecteur au niveau du micro de l'écran alors que le téléphone est vendu comme parfait état De plus la coque fournie avec n'est pas la bonne Pour couronner le tout le retour de l'article dure depuis maintenant 10 jour et je n'ai toujours pas de remboursement Fuyez ce sont des arnaqueurs,1,négatif
191,"Téléphone reçu avec l’état de la batterie a 100%, comme neuf, je recommande",5,positif
192,"Offert à ma petite fille qui le trouve génial en remplacement d'un Xiaomi qui pour moi était déjà trop perfectionné. Avis qu'elle m'a donné : meilleure interface, meilleure photos,plus d'applications,plus rapide Un un",5,positif
193,Les produits reconditionnés c’est super ! J’ai toujours pris ça. Et la 4 mois après l’achat la carte mère lâche … Téléphone trop fragile,1,négatif
194,Reçu très rapidement. En excellent état comme indique dans l'annonce. Surprise une coque et un écran en cadeau. Merci . Batterie niquel. Pour le moment tout est parfait. Que cela dure ? mais il n'y à pas de raison .,3,neutre
195,Envoie très bien protégé et bonne surprise potentiel batterie 100%,5,positif
196,J'appréhendais vu certains commentaires et je ne suis pas déçue. Pour l'instant tout fonctionne bien.,5,positif
197,TRES BELLE QUALITE PRODUIT CONFORME,5,positif
198,Bien que la batterie affiche 80% Mon téléphone se décharge très très rapidement. Je suis tous les jours en panne de batterie J’avais le même téléphone avant ( iphone11) acheté neuf . Je peux donc comparer mes usages n’ayant pas changer A fuir si vous voulez pouvoir utiliser votre téléphone normalement,1,négatif
199,"a peine reçu, réglages longs et temps de charge de batterie aussi très long, je me retrouve avec un appareil sans caméra, écran non reconnu, et qui surchauffe a la première application.",1,négatif
200,Parfait. Rapide. Excellent état. Comme neuf. Très sérieux,5,positif
201,"Reçu rapidement mais À peine allumer l’écran est devenu noir j’ai fait un arrêt forcé il s’est rallumé quelques heures plus tard l’écran est devenu tout noir en plus il me marque défaut, écran pas reconnu",1,négatif
202,"Très satisfaite ! Délai respecté, bravo et merci Envoi très bien conditionné iPhone reconditionné et en excellente état! Je suis ravie et un grand merci au vendeur! Pour l’instant tout fonctionne parfaitement!",5,positif
203,pas solide du tout pour le prix je m'attendais a plus dessus a fuire,3,neutre
204,très bien reçus aucune casse,5,positif
205,"J’ai acheté ce téléphone il y’a moins d’un mois et je suis extrêmement dessus. La batterie ne tiens pas, je suis dans l’incapacité de sortir de chez sans prendre une batterie externe pour être sûr de pouvoir tenir la journée. Et la capacité maximale de la batterie ne fais que baisser (déjà 93%) alors que je l’ai reçu le 28 juillet et nous sommes actuellement le 21 août je trouve ça vraiment décevant.",1,négatif
206,En panne moins d un mois en ayant pris comme neuf .. a fuir,1,négatif
207,"Heureuse de ce nouveau téléphone. Vous pouvez commander les yeux fermés sur ce vendeur. Très pro! Batterie à 100%, téléphone aspect neuf !",5,positif
208,"Livraison rapide, presque, batterie ? bien?",5,positif
209,"Problème avec l’écran , et la caméra , surchauffe je conseille à personne",1,négatif
210,"Bonjour, Je suis déçu de mon achat, la batterie est à 100% mais elle ne tient pas je le recharge 2.3 fois par jours. La qualité vidéo est tremblante, dès que je fais une vidéo l’image tremble et encore pire quand je zoom ! Cependant la vidéo en selfie ne bouge pas elle fonctionne bien. Que faire ?? Car j’ai changé de téléphone pour pouvoir travailler avec je suis créatrice de contenu et j’ai besoin de la caméra pour pouvoir filmer … sinon le reste est ok pour le moment !",2,négatif
211,J ai commander ce tel j ai reçu tout a l heure avec le chargeur charge rapide il charge vite Par contre j etais a 99 pour cent en même pas 15 minutes j avais perdu 5 pour cent . Je vais voir dans le temps Les batterie sont acheter ou je sais pas où mais elle ne tienne pas la route .,2,négatif
212,"Je m’attendais à une batterie de capacité maximale pour un téléphone en excellent état, état neuf…elle était de 96% dans les paramètres de la batterie à réception et est à 91% 1 mois 1/2 plus tard… Elle risque de passer sous les 80% très rapidement, ce qui est problématique pour un iPhone. Il faut alors le recharger très souvent… C’est pour ça que je voulais un état neuf…même si reconditionné.",3,neutre
213,J’ai bien reçu c’est parfait est l’état téléphone est parfait,5,positif
214,"Je suis ravie d'avoir acheter chez ce vendeur le téléphone et neuf malgré que je les acheter en reconditionné j'avais peur d'avoir une mauvaise surprise mes j'espère que mon avis vous aidera dans votre achat aucune rayure , batterie neuf ... Je recommanderez les yeux fermer merci encore !",5,positif
215,"L’état de téléphone est comme neuf! j’ai ne pas encore testé l’état général , reste à confirmer ?",5,positif
216,Je l'ai reçu en deux jours et vraiment je suis surpris ! Il est vraiment comme neuf et ça fait plaisir pour ce prix-là.,5,positif
