mot,score_brut,score_positivite
abrutie,-0.5,0.0
abruties,-0.4,0.0
abrutis,-0.4,0.0
absent,-1.1,0.0
absents,-0.8,0.0
absorbe,0.6,0.15
absorbee,0.6,0.15
absorbees,0.6,0.15
absorbes,0.6,0.15
absoudre,1.2,0.3
absous,1.5,0.375
absurde,-1.5,0.0
absurdes,-1.5,0.0
absurdite,-1.7,0.0
absurdites,-1.7,0.0
abuse,-1.9,0.0
abuser,-1.7,0.0
abuses,-1.9,0.0
abuseur,-2.3,0.0
abuseurs,-2.2,0.0
abusez,-3.1,0.0
abusee,-1.9,0.0
abusees,-1.9,0.0
abatardi,-2.3,0.0
abatardie,-2.3,0.0
abatardies,-2.3,0.0
abatardir,-2.1,0.0
abatardis,-2.3,0.0
abatardisant,-2.6,0.0
accablant,-1.4,0.0
accablante,-1.4,0.0
accablantes,-1.4,0.0
accablants,-1.4,0.0
accable,-1.5,0.0
accablee,-1.5,0.0
acceptabilite,1.6,0.4
acceptabilites,1.1,0.275
acceptable,0.7,0.175
acceptablement,1.5,0.375
acceptables,1.6,0.4
acceptant,0.8,0.2
accepte,1.1,0.275
accepter,1.6,0.4
acceptes,1.6,0.4
accident,-0.6,0.0
accidentel,-0.3,0.0
accidentellement,-1.4,0.0
accidents,-1.3,0.0
accolade,0.7,0.175
accolades,2.1,0.525
accompli,1.9,0.475
accomplir,1.8,0.45
accomplis,1.7,0.425
accomplit,1.7,0.425
accord,0.8,0.2
accordant,1.3,0.325
accorde,1.0,0.25
accordent,0.9,0.225
accorder,1.5,0.375
accordes,1.0,0.25
accordez,0.9,0.225
accords,1.1,0.275
accordees,0.5,0.125
accueillant,1.9,0.475
accueille,1.7,0.425
accueillent,1.7,0.425
accueilles,1.7,0.425
accueillez,1.7,0.425
accueilli,1.4,0.35
accueillie,1.4,0.35
accueillies,1.4,0.35
accueillir,2.0,0.5
accueillis,1.4,0.35
accueillons,1.7,0.425
accusant,-0.7,0.0
accusation,-1.0,0.0
accusations,-1.3,0.0
accuse,-1.2,0.0
accuser,-0.4,0.0
accuses,-0.8,0.0
accusee,-1.2,0.0
acquis,1.6,0.4
acquise,1.6,0.4
acquises,1.6,0.4
acquitte,1.0,0.25
acquitter,0.8,0.2
acquittes,0.1,0.025
acquerir,2.4,0.6
acrimonieuse,-1.7,0.0
acrimonieux,-1.7,0.0
actif,1.7,0.425
actifs,1.1,0.275
active,1.7,0.425
activement,1.3,0.325
actives,1.1,0.275
admet,1.2,0.3
admets,1.2,0.3
admettre,0.8,0.2
admirabilite,2.2,0.55
admirable,0.4,0.1
admirablement,0.8,0.2
admirables,0.8,0.2
admirant,1.6,0.4
admirateur,1.8,0.45
admirateurs,1.7,0.425
admirateuses,0.8,0.2
admiration,2.5,0.625
admirations,1.6,0.4
admire,0.7,0.175
admirer,2.1,0.525
admires,1.1,0.275
admiree,0.6,0.15
admirees,1.1,0.275
admis,0.4,0.1
adopte,0.7,0.175
adopter,0.7,0.175
adoptes,0.7,0.175
adorable,0.7,0.175
adorablement,2.1,0.525
adorables,1.4,0.35
adorant,2.6,0.65
adorateur,1.7,0.425
adorateurs,2.1,0.525
adoration,2.9,0.725
adorations,2.2,0.55
adoratrice,1.7,0.425
adoratrices,2.1,0.525
adore,0.6,0.15
adorer,1.2,0.3
adores,2.4,0.6
adoree,0.5,0.125
adversaire,-0.5,0.0
adversaires,-0.4,0.0
adversatifs,-1.0,0.0
adversative,-1.2,0.0
adversatives,-1.0,0.0
adversite,-1.8,0.0
adversites,-1.5,0.0
affaibli,-1.8,0.0
affaiblie,-1.8,0.0
affaiblies,-1.8,0.0
affaiblir,-1.3,0.0
affaiblis,-0.7,0.0
affaiblissement,-1.3,0.0
affaiblissent,-1.3,0.0
affaiblissez,-1.3,0.0
affaiblissons,-1.3,0.0
affaiblit,-1.3,0.0
affame,-2.6,0.0
affament,-2.3,0.0
affamer,-1.9,0.0
affames,-2.6,0.0
affamez,-2.3,0.0
affamons,-2.3,0.0
affamee,-2.6,0.0
affamees,-2.6,0.0
affection,2.4,0.6
affectionne,1.8,0.45
affectionnee,1.8,0.45
affections,1.5,0.375
affectueuse,1.9,0.475
affectueusement,1.1,0.275
affectueux,1.9,0.475
affecte,-0.6,0.0
afflige,-0.8,0.0
affligee,-0.8,0.0
affligees,-0.8,0.0
affliges,-0.8,0.0
affolement,-2.3,0.0
affoler,-2.3,0.0
affranchi,1.1,0.275
affranchie,1.1,0.275
affranchies,1.1,0.275
affranchis,1.1,0.275
affreuse,-1.9,0.0
affreusement,-1.9,0.0
affreuses,-1.9,0.0
affreux,-0.9,0.0
affrontement,-1.3,0.0
affrontements,-1.5,0.0
affronter,-0.3,0.0
affronte,0.7,0.175
affrontee,1.4,0.35
affrontees,1.4,0.35
affrontes,1.4,0.35
agace,-2.0,0.0
agacent,-2.0,0.0
agacer,-2.0,0.0
agaces,-2.0,0.0
agacez,-2.0,0.0
agacant,-0.7,0.0
agacante,-0.7,0.0
agacantes,-2.0,0.0
agacants,-2.0,0.0
aggravant,-0.6,0.0
aggrave,-0.9,0.0
aggravent,-2.1,0.0
aggraver,-1.1,0.0
aggraves,-1.9,0.0
aggravez,-2.1,0.0
aggravons,-2.1,0.0
aggravee,-0.9,0.0
aggravees,-1.9,0.0
agitant,-1.8,0.0
agitateur,-1.4,0.0
agitateurs,-2.1,0.0
agitateuse,-1.4,0.0
agitateuses,-2.1,0.0
agitation,-1.0,0.0
agitations,-1.3,0.0
agitato,-0.1,0.0
agite,-0.7,0.0
agiter,-1.7,0.0
agites,-1.4,0.0
agitee,-0.7,0.0
agitees,-1.4,0.0
agrandir,0.7,0.175
agrandis,0.5,0.125
agrandissez,0.5,0.125
agrandit,0.5,0.125
agressant,-0.3,0.0
agresse,-0.5,0.0
agresser,-1.3,0.0
agresses,-1.9,0.0
agresseur,-0.3,0.0
agresseurs,-0.3,0.0
agresseuse,-0.8,0.0
agresseuses,-0.9,0.0
agressif,-0.3,0.0
agression,-0.4,0.0
agressions,-0.4,0.0
agressive,-0.6,0.0
agressivement,-1.3,0.0
agressivite,-0.6,0.0
agressee,-1.9,0.0
agressees,-1.9,0.0
agreable,0.9,0.225
agreablement,0.8,0.2
agreables,2.8,0.7
agrement,1.8,0.45
agrements,1.3,0.325
aguicheur,0.5,0.125
aguicheuse,0.5,0.125
aguicheusement,-0.1,0.0
aguicheuses,0.5,0.125
ah,1.4,0.35
ahuri,-0.4,0.0
ahurie,-0.4,0.0
ahuries,-0.4,0.0
ahuris,-0.4,0.0
aide,0.8,0.2
aident,1.6,0.4
aider,1.7,0.425
aides,1.6,0.4
aideur,1.4,0.35
aideurs,1.4,0.35
aideuse,1.4,0.35
aideuses,1.4,0.35
aidez,1.6,0.4
aidons,1.6,0.4
aigri,-0.2,0.0
aigrie,-0.2,0.0
aigries,-0.2,0.0
aigris,-0.2,0.0
aimable,0.9,0.225
aimablement,2.2,0.55
aimables,2.4,0.6
aimant,2.9,0.725
aimante,2.9,0.725
aimantes,2.9,0.725
aimants,2.9,0.725
aime,2.9,0.725
aiment,2.7,0.675
aimer,3.2,0.8
aimes,2.9,0.725
aimez,2.7,0.675
aimons,2.7,0.675
aimee,2.9,0.725
aimees,2.9,0.725
aise,1.2,0.3
aisee,1.2,0.3
aisees,1.2,0.3
aisement,1.1,0.275
aises,1.2,0.3
alarmant,-0.2,0.0
alarmer,-1.4,0.0
alarmes,-1.1,0.0
alarmisme,-0.3,0.0
alarmiste,-2.1,0.0
alarmistes,-0.6,0.0
alarme,-1.4,0.0
alerter,1.2,0.3
alienation,-1.1,0.0
allergique,-1.2,0.0
allumeur,-1.3,0.0
allumeurs,-1.3,0.0
allumeuse,-1.3,0.0
allumeuses,-1.3,0.0
alleger,1.5,0.375
allegresse,0.6,0.15
allege,1.2,0.3
allegee,1.2,0.3
allegees,1.2,0.3
alleges,1.2,0.3
amant,2.8,0.7
amante,2.8,0.7
amantes,2.8,0.7
amants,2.8,0.7
ambitieuse,2.1,0.525
ambitieux,2.1,0.525
ambivalent,0.5,0.125
amer,-1.8,0.0
ami,2.2,0.55
amiable,2.0,0.5
amical,2.2,0.55
amicale,2.2,0.55
amicalement,1.6,0.4
amicales,2.2,0.55
amicaux,2.2,0.55
amie,2.2,0.55
amies,2.1,0.525
amiraute,1.2,0.3
amirautes,1.2,0.3
amis,2.1,0.525
amitie,1.9,0.475
amities,1.6,0.4
amor,3.0,0.75
amoral,-1.6,0.0
amoralement,-1.0,0.0
amoralisme,-0.7,0.0
amoralismes,-0.7,0.0
amoralite,-1.2,0.0
amoralites,-1.5,0.0
amoretti,0.2,0.05
amoretto,0.6,0.15
amorettos,0.3,0.075
amorino,1.2,0.3
amoroso,2.3,0.575
amorphe,-0.2,0.0
amorpheusement,0.1,0.025
amour,3.2,0.8
amour-propre,1.4,0.35
amourache,0.2,0.05
amourachee,0.2,0.05
amourachees,0.2,0.05
amouraches,0.2,0.05
amoureuse,1.8,0.45
amoureusement,2.3,0.575
amoureusite,2.0,0.5
amoureux,1.8,0.45
amusable,0.7,0.175
amusant,0.8,0.2
amusante,1.6,0.4
amusantes,0.8,0.2
amusants,0.8,0.2
amuse,1.8,0.45
amusement,0.3,0.075
amusements,1.5,0.375
amuser,1.7,0.425
amuses,1.7,0.425
amuseurs,0.6,0.15
amuseuse,1.1,0.275
amuseuses,1.3,0.325
amusif,1.7,0.425
amusifs,1.7,0.425
amusive,1.7,0.425
amusives,1.7,0.425
amusee,1.8,0.45
amere,-1.8,0.0
ameliorant,1.8,0.45
amelioration,2.0,0.5
ameliorations,1.3,0.325
ameliore,2.1,0.525
ameliorent,1.8,0.45
ameliorer,1.9,0.475
ameliores,1.8,0.45
ameliorez,1.8,0.45
ameliorons,1.8,0.45
amelioree,1.1,0.275
ameliorees,2.1,0.525
analphabetisme,-1.9,0.0
ange,3.3,0.825
anges,3.3,0.825
angoissant,-2.7,0.0
angoisse,-0.9,0.0
angoisses,-1.8,0.0
angoissee,-0.9,0.0
angoissees,-1.8,0.0
angelique,3.3,0.825
angeliques,3.3,0.825
animosite,-1.9,0.0
anime,1.9,0.475
animee,1.9,0.475
animees,1.9,0.475
animes,1.9,0.475
annulant,-0.8,0.0
annule,-1.0,0.0
annuler,-1.0,0.0
annules,-0.9,0.0
annulee,-1.0,0.0
antagonisme,-1.9,0.0
antagonismes,-1.2,0.0
antagoniste,-0.8,0.0
antagonistes,-1.7,0.0
anti,-1.3,0.0
anticipation,0.4,0.1
anxieuse,-1.0,0.0
anxieusement,-0.5,0.0
anxieux,-1.0,0.0
anxiete,-0.3,0.0
anxietes,-0.7,0.0
aneanti,-0.9,0.0
aneantie,-0.9,0.0
aneanties,-0.9,0.0
aneantir,-2.9,0.0
aneantis,-0.9,0.0
apaisant,1.0,0.25
apaise,0.9,0.225
apaisement,1.6,0.4
apaisements,0.4,0.1
apaiser,1.1,0.275
apaises,0.9,0.225
apaisee,0.9,0.225
apathie,-1.2,0.0
apathies,-0.6,0.0
apathique,-0.6,0.0
apathiquement,-0.4,0.0
apathiques,-1.6,0.0
apeurant,-1.9,0.0
apeure,-0.7,0.0
apeuree,-0.7,0.0
apeurees,-0.7,0.0
apeures,-0.7,0.0
apitoie,-1.2,0.0
apitoient,-1.2,0.0
apitoies,-1.2,0.0
apitoyer,-1.4,0.0
apitoyez,-1.2,0.0
apitoyons,-1.2,0.0
apitoye,-1.3,0.0
apitoyee,-1.3,0.0
apitoyees,-1.3,0.0
apitoyes,-1.3,0.0
apocalyptique,-3.4,0.0
apologie,0.2,0.05
applaudi,1.5,0.375
applaudie,1.5,0.375
applaudir,1.0,0.25
applaudis,1.4,0.35
applaudissement,1.8,0.45
applaudit,1.4,0.35
applique,1.5,0.375
appliquee,1.5,0.375
appliquees,1.5,0.375
appliques,1.5,0.375
approuve,1.8,0.45
approuvement,2.1,0.525
approuves,1.7,0.425
appreciabilite,1.9,0.475
appreciable,0.9,0.225
appreciablement,1.8,0.45
appreciables,0.9,0.225
appreciant,0.6,0.15
appreciateur,2.6,0.65
appreciateurs,1.5,0.375
appreciateuse,2.6,0.65
appreciateuses,1.5,0.375
appreciation,2.3,0.575
appreciations,1.7,0.425
apprecie,0.6,0.15
apprecient,1.8,0.45
apprecier,0.5,0.125
apprecies,0.9,0.225
appreciez,0.9,0.225
apprecions,0.9,0.225
appreciee,0.6,0.15
appreciees,0.9,0.225
apprehension,-0.7,0.0
apprehensions,-0.9,0.0
appui,1.3,0.325
appuyer,1.3,0.325
appuye,1.0,0.25
appuyee,1.0,0.25
appuyees,1.0,0.25
appuyes,1.0,0.25
arbhorre,-2.1,0.0
arbhorres,-2.1,0.0
arbhorrez,-1.9,0.0
arbhorree,-2.1,0.0
arbhorrees,-2.1,0.0
ardemment,1.0,0.25
ardent,0.8,0.2
ardente,1.5,0.375
ardentes,1.5,0.375
ardents,1.5,0.375
argumentatif,-1.5,0.0
argumentative,-1.5,0.0
arme,-1.4,0.0
armement,-0.9,0.0
armes,-1.4,0.0
armee,-1.4,0.0
armees,-1.4,0.0
arnaque,-2.7,0.0
arnaquent,-2.8,0.0
arnaquer,-2.7,0.0
arnaques,-1.4,0.0
arnaqueur,-0.9,0.0
arnaqueurs,-1.3,0.0
arnaqueuse,-0.9,0.0
arnaqueuses,-1.3,0.0
arnaquez,-2.8,0.0
arnaquons,-2.8,0.0
arrangeant,1.3,0.325
arranger,1.2,0.3
arrange,2.0,0.5
arrangee,2.0,0.5
arrangees,2.0,0.5
arranges,2.0,0.5
arrogance,-2.4,0.0
arrogances,-1.9,0.0
arrogant,-0.9,0.0
arrogante,-1.8,0.0
arrogantes,-1.8,0.0
arrogants,-1.8,0.0
arrete,-0.5,0.0
arretent,-0.6,0.0
arreter,-0.6,0.0
arretes,-0.9,0.0
arretez,-0.6,0.0
arretons,-0.6,0.0
arretee,-0.5,0.0
arretees,-0.9,0.0
arsenal,-0.9,0.0
asphyxier,-1.4,0.0
asphyxie,-1.4,0.0
asphyxiee,-1.4,0.0
asphyxiees,-1.4,0.0
asphyxies,-1.4,0.0
assassin,-3.6,0.0
assassinat,-1.4,0.0
assassinats,-2.7,0.0
assassine,-3.4,0.0
assassiner,-3.7,0.0
assassines,-3.4,0.0
assassins,-3.3,0.0
assassinee,-3.4,0.0
assassinees,-3.4,0.0
asservi,-1.7,0.0
asservie,-1.7,0.0
asservies,-1.7,0.0
asservir,-3.1,0.0
asservis,-0.8,0.0
asservissez,-1.6,0.0
asservissons,-1.6,0.0
asservit,-1.6,0.0
assidu,1.5,0.375
assidue,1.5,0.375
assidues,1.5,0.375
assidus,1.5,0.375
assistant,1.4,0.35
assistante,1.4,0.35
assistantes,1.4,0.35
assistants,1.4,0.35
assomme,0.1,0.025
assomment,0.1,0.025
assommer,0.1,0.025
assommes,0.1,0.025
assommez,0.1,0.025
assommons,0.1,0.025
assourdissant,-1.2,0.0
assourdissante,-1.2,0.0
assourdissantes,-1.2,0.0
assourdissants,-1.2,0.0
asssassinats,-3.5,0.0
assujetez,-1.6,0.0
assujetons,-1.6,0.0
assujette,-1.6,0.0
assujettes,-1.6,0.0
assujetti,-1.7,0.0
assujettie,-1.7,0.0
assujetties,-1.7,0.0
assujettir,-3.1,0.0
assujettis,-1.7,0.0
assurance,0.7,0.175
assurances,1.4,0.35
assurant,1.6,0.4
assure,0.8,0.2
assurer,0.7,0.175
assures,1.3,0.325
assureur,1.1,0.275
assureurs,1.1,0.275
assureuse,1.1,0.275
assureuses,1.1,0.275
astucieuse,1.7,0.425
astucieuses,0.6,0.15
astucieux,0.8,0.2
atout,0.8,0.2
atouts,0.3,0.075
atroce,-0.7,0.0
atroces,-2.0,0.0
attachement,1.2,0.3
attachements,1.1,0.275
attaquant,-2.0,0.0
attaque,-2.0,0.0
attaquent,-1.5,0.0
attaquer,-0.8,0.0
attaques,-1.9,0.0
attaqueur,-2.7,0.0
attaqueurs,-2.7,0.0
attaqueuse,-2.7,0.0
attaqueuses,-2.7,0.0
attaquez,-1.5,0.0
attaquons,-1.5,0.0
attaquee,-2.0,0.0
attarde,-2.4,0.0
attardee,-2.4,0.0
attardees,-2.4,0.0
attardes,-2.4,0.0
atteignent,0.2,0.05
atteignez,0.2,0.05
atteignons,0.2,0.05
atteindre,0.1,0.025
atteins,0.2,0.05
atteint,0.1,0.025
atteinte,-1.1,0.0
atteintes,0.4,0.1
atteints,0.4,0.1
attend,0.3,0.075
attendre,0.4,0.1
attendri,0.5,0.125
attendrie,0.5,0.125
attendries,0.5,0.125
attendris,0.5,0.125
attends,0.3,0.075
attendu,-0.1,0.0
attendue,-0.1,0.0
attention,2.0,0.5
attentionne,0.8,0.2
attentionnee,0.8,0.2
attentionnees,1.6,0.4
attentionnes,1.6,0.4
attentivement,0.5,0.125
atterrant,-1.5,0.0
atterrer,-2.4,0.0
atterre,-2.0,0.0
attirant,1.3,0.325
attirante,1.4,0.35
attire,1.8,0.45
attirer,1.5,0.375
attires,1.7,0.425
attiree,1.8,0.45
attracteur,1.2,0.3
attracteurs,1.2,0.3
attractif,0.7,0.175
attraction,2.0,0.5
attractions,1.8,0.45
attractive,1.9,0.475
attractivement,2.2,0.55
attractrice,1.2,0.3
attractrices,1.2,0.3
attrayance,0.9,0.225
attristant,-2.2,0.0
attriste,-0.6,0.0
attristent,-1.9,0.0
attrister,-1.1,0.0
attristes,-1.1,0.0
attristez,-1.9,0.0
attristons,-1.9,0.0
attristee,-1.1,0.0
attristees,-1.1,0.0
attere,-1.9,0.0
atteres,-1.9,0.0
aubaine,2.8,0.7
audace,1.5,0.375
audaces,0.9,0.225
audacieuse,0.5,0.125
audacieusement,0.8,0.2
audacieux,0.5,0.125
augmentation,1.3,0.325
augmenter,1.3,0.325
augmente,1.1,0.275
augmentee,1.1,0.275
augmentees,1.1,0.275
augmentes,1.1,0.275
authentique,2.8,0.7
authentiques,2.8,0.7
autoportant,1.1,0.275
autoporteur,1.1,0.275
autoporteuse,1.1,0.275
autoriser,0.9,0.225
autoritaire,-1.1,0.0
autoritaires,-1.1,0.0
autorite,0.3,0.075
autorporteurs,1.1,0.275
autosatisfaction,-1.7,0.0
autosatisfactions,-1.7,0.0
avancement,1.8,0.45
avancer,1.8,0.45
avance,1.0,0.25
avancee,1.0,0.25
avances,1.0,0.25
avantage,1.4,0.35
avantages,1.5,0.375
avantageusement,1.9,0.475
avantageux,0.8,0.2
avare,-1.8,0.0
avares,-1.8,0.0
aventure,1.3,0.325
aventures,1.4,0.35
aventureuse,1.2,0.3
aventureusement,1.3,0.325
aventureux,1.2,0.3
aversion,-1.9,0.0
aversions,-1.1,0.0
averti,-1.1,0.0
avertie,-1.1,0.0
averties,-1.1,0.0
avertis,-0.2,0.0
avertissement,-1.4,0.0
avertissements,-1.2,0.0
avertissent,-0.4,0.0
avertissez,-0.4,0.0
avertissons,-0.4,0.0
avertit,-0.4,0.0
aveugle,-1.7,0.0
avide,-0.7,0.0
avides,-1.3,0.0
avidite,-1.7,0.0
avidites,-1.0,0.0
avorton,-1.3,0.0
avortons,-1.4,0.0
badass,1.4,0.35
badin,1.2,0.3
badine,1.2,0.3
badines,1.2,0.3
badins,1.2,0.3
bagatelle,-0.5,0.0
bagatelles,-1.0,0.0
baillon,-1.4,0.0
baillone,-1.3,0.0
baillonee,-1.3,0.0
baillonees,-1.3,0.0
baillones,-1.3,0.0
baiser,-2.5,0.0
baises,-3.4,0.0
baiseur,-3.3,0.0
baiseurs,-2.9,0.0
baiseuses,-1.4,0.0
baisse,-0.5,0.0
baissent,-0.5,0.0
baisser,-1.2,0.0
baisses,-0.5,0.0
baissez,-0.5,0.0
baissons,-0.5,0.0
baissee,-0.5,0.0
baissees,-0.5,0.0
baise,-3.4,0.0
baisee,-3.4,0.0
baisees,-3.4,0.0
balafre,-1.1,0.0
balafres,-0.8,0.0
baleze,2.3,0.575
balezes,2.3,0.575
banal,-0.1,0.0
banale,-0.1,0.0
banales,-0.1,0.0
banalise,-0.8,0.0
banalisent,-1.1,0.0
banaliser,-0.8,0.0
banalises,-0.8,0.0
banalisez,-1.1,0.0
banalisons,-1.1,0.0
banalisee,-0.8,0.0
banalisees,-0.8,0.0
banalite,-0.5,0.0
banalites,-1.0,0.0
banaux,-0.1,0.0
bancal,-0.9,0.0
bancale,-0.9,0.0
bancales,-0.9,0.0
bancals,-0.9,0.0
bankrupt,-2.6,0.0
banni,-2.0,0.0
bannie,-2.0,0.0
bannir,-1.9,0.0
banqueroute,-2.6,0.0
baratin,-0.4,0.0
barbant,-1.3,0.0
barber,-1.0,0.0
barriere,-0.5,0.0
bas,-1.1,0.0
basse,-1.1,0.0
basses,-1.1,0.0
bassesse,-0.7,0.0
bassesses,-2.6,0.0
bastion,0.5,0.125
bastions,1.0,0.25
bataille,-1.6,0.0
batailles,-1.6,0.0
battant,-0.8,0.0
battante,-0.8,0.0
battantes,-0.2,0.0
battants,-0.2,0.0
battu,-0.7,0.0
battue,-1.3,0.0
battues,-1.3,0.0
battus,-1.3,0.0
baudet,-1.8,0.0
baudets,-2.8,0.0
bavardage,-0.7,0.0
bazard,-1.5,0.0
beau,0.7,0.175
beaute,1.0,0.25
beautes,1.1,0.275
beaux,2.2,0.55
belle,0.7,0.175
belles,1.1,0.275
belliciste,-2.9,0.0
bellicistes,-2.9,0.0
benne,-1.0,0.0
bennes,-1.0,0.0
berk,-1.8,0.0
berne,-1.6,0.0
bernee,-1.6,0.0
bernees,-1.6,0.0
bernes,-1.6,0.0
beurk,-1.8,0.0
beurre,-3.2,0.0
beurree,-3.2,0.0
beurrees,-3.2,0.0
beurres,-3.2,0.0
biaise,-1.1,0.0
biaisee,-1.1,0.0
bidon,-1.8,0.0
bidons,-1.8,0.0
bien,0.2,0.05
bien-aime,2.8,0.7
bien-etre,1.9,0.475
bienfaisance,2.8,0.7
bienfaisances,1.5,0.375
bienfaisant,2.3,0.575
bienheureuse,2.9,0.725
bienheureux,2.9,0.725
biens,1.0,0.25
bienveillance,1.4,0.35
bienveillant,2.7,0.675
bienveillante,2.7,0.675
bienvenu,2.0,0.5
bienvenue,2.0,0.5
bienvenues,2.0,0.5
bienvenus,2.0,0.5
bigleuse,-1.2,0.0
bigleuses,-1.2,0.0
